conf;1;tsv1;parents;startTask
conf;2;t1v1;parents;task1
conf;2;t1v2;parents;task1
conf;2;t1v3;parents;task1
conf;2;t1v4;parents;task1
conf;3;t6v1;t7v1;tev1;parents;task6;task7;endTask
conf;3;t6v1;t7v2;tev1;parents;task6;task7;endTask
conf;3;t6v1;t7v3;tev1;parents;task6;task7;endTask
conf;3;t6v1;t7v4;tev1;parents;task6;task7;endTask
conf;4;t2v1;parents;task2
conf;4;t2v2;parents;task2
conf;4;t2v3;parents;task2
conf;4;t2v4;parents;task2
conf;5;t3v1;parents;task3
conf;5;t3v2;parents;task3
conf;5;t3v3;parents;task3
conf;5;t3v4;parents;task3
conf;6;t4v1;parents;task4
conf;6;t4v2;parents;task4
conf;6;t4v3;parents;task4
conf;6;t4v4;parents;task4
conf;7;t5v1;parents;task5
conf;7;t5v2;parents;task5
conf;7;t5v3;parents;task5
conf;7;t5v4;parents;task5
abstract;1;startTask;task1;task2;task3;task4;task5;task6;task7;endTask
