conf;1;tsv1;parents;startTask
conf;2;t1v1;parents;task1
conf;2;t1v2;parents;task1
conf;2;t1v3;parents;task1
conf;2;t1v4;parents;task1
conf;3;t6v1;parents;task6
conf;4;t7v1;tev1;parents;task7;endTask
conf;4;t7v2;tev1;parents;task7;endTask
conf;4;t7v3;tev1;parents;task7;endTask
conf;4;t7v4;tev1;parents;task7;endTask
conf;5;t2v1;parents;task2
conf;5;t2v2;parents;task2
conf;5;t2v3;parents;task2
conf;5;t2v4;parents;task2
conf;6;t4v1;parents;task4
conf;6;t4v2;parents;task4
conf;6;t4v3;parents;task4
conf;6;t4v4;parents;task4
conf;7;t3Av1;parents;task3A
conf;7;t3Av2;parents;task3A
conf;7;t3Av3;parents;task3A
conf;8;t3Bv1;parents;task3B
conf;8;t3Bv2;parents;task3B
conf;9;t5Bv1;parents;task5B
conf;9;t5Bv2;parents;task5B
conf;10;t5A1v1;parents;task5A1
conf;10;t5A1v2;parents;task5A1
conf;10;t5A1v3;parents;task5A1
conf;11;t5A2v1;parents;task5A2
conf;11;t5A2v2;parents;task5A2
conf;12;t5A3v1;parents;task5A3
abstract;1;startTask;task1;task2;task4;task6;task7;endTask;task3A;task5B
abstract;2;startTask;task1;task2;task4;task6;task7;endTask;task3B;task5B
abstract;3;startTask;task1;task2;task4;task6;task7;endTask;task3A;task5A1;task5A3
abstract;4;startTask;task1;task2;task4;task6;task7;endTask;task3B;task5A1;task5A3
abstract;5;startTask;task1;task2;task4;task6;task7;endTask;task3A;task5B;task5A1;task5A3
abstract;6;startTask;task1;task2;task4;task6;task7;endTask;task3B;task5B;task5A1;task5A3
abstract;7;startTask;task1;task2;task4;task6;task7;endTask;task3A;task5A1;task5A2;task5A3
abstract;8;startTask;task1;task2;task4;task6;task7;endTask;task3B;task5A1;task5A2;task5A3
abstract;9;startTask;task1;task2;task4;task6;task7;endTask;task3A;task5B;task5A1;task5A2;task5A3
abstract;10;startTask;task1;task2;task4;task6;task7;endTask;task3B;task5B;task5A1;task5A2;task5A3
